time_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,lumbar_extension_moment,lumbar_bending_moment,lumbar_rotation_moment,arm_flex_r_moment,arm_add_r_moment,arm_rot_r_moment,elbow_flex_r_moment,pro_sup_r_moment,arm_flex_l_moment,arm_add_l_moment,arm_rot_l_moment,elbow_flex_l_moment,pro_sup_l_moment
0.0,0.3505497911450857,0.24352379534676116,0.09630817138635622,0.32256284841903804,0.23097374045306013,0.24228016100953823,0.19206513310311504,0.07625716896480961,0.07659027736408905,0.01509737808532057,0.30797305675351705,0.11315188097081143,0.0733344689422693,0.018824168657487306,0.026227778728278407,0.011727700857585304,0.015295422073616291,0.0006298747728608033,0.027436872815785742,0.019767089283669735,0.011114528256881718,0.008224705415444834,0.0007396439331971091
1.3877787807814457e-17,0.3505497911450857,0.24352379534676116,0.09630817138635622,0.32256284841903804,0.23097374045306013,0.24228016100953823,0.19206513310311504,0.07625716896480961,0.07659027736408905,0.01509737808532057,0.30797305675351705,0.11315188097081143,0.0733344689422693,0.018824168657487306,0.026227778728278407,0.011727700857585304,0.015295422073616291,0.0006298747728608033,0.027436872815785742,0.019767089283669735,0.011114528256881718,0.008224705415444834,0.0007396439331971091
2.7755575615628914e-17,0.34772021976334094,0.2451364069133808,0.09221249978038983,0.318252411005925,0.22605750589430224,0.24182250026961885,0.1919559227547117,0.07645390767357843,0.07678945329705104,0.015002955602228535,0.3075332046389512,0.11223501030603081,0.07350408478997476,0.01919065357680408,0.026262030280024218,0.011774000644024686,0.015412049705279192,0.0006282472220346857,0.02736126156464826,0.019753022377102643,0.01108785788663243,0.008197048725586669,0.0007479413526279842
0.0,0.34291116192203636,0.2480773433317714,0.08436889390535614,0.3089074048315828,0.21460320923333684,0.24094943615041292,0.19157005571756902,0.07683740954501503,0.07742316683657745,0.014848607119168206,0.30653734362296714,0.1105520931418085,0.07415886193664659,0.019876342838847216,0.0263683135858788,0.011895939446531,0.01564880824668784,0.0006258922055550571,0.027223175019830202,0.019738499807695157,0.0110397004354646,0.008154177365361137,0.0007650949293534038
5.551115123125783e-17,0.3363955403614804,0.25114554935421435,0.07698713720954609,0.29672639968710807,0.1998744725184418,0.24017101669061214,0.19136332132472164,0.07707723067092234,0.07836599185957306,0.014687076702994994,0.30482065189838736,0.10871154281158421,0.07512823722492715,0.02054922007241119,0.026400429196737723,0.011988840540062733,0.015872431448863498,0.0006229887437169917,0.02703715577600947,0.01972549520803266,0.010986796664958817,0.008148835372107921,0.0007821678521938137
0.0,0.3298054849510183,0.25472403914778474,0.07108902589030548,0.2839503222643159,0.18400352056825806,0.23930850664289122,0.19146602232515839,0.0773913500399699,0.07948439874578972,0.014528026198432714,0.3029163895707611,0.10679746846337974,0.07642824195474525,0.021173152680856285,0.02639945818879367,0.012071751973228819,0.01608359464063834,0.0006205818762093096,0.026848128843486627,0.019714152241674325,0.010936348088848137,0.008178800651679644,0.0007991230784520076
0.0,0.32285492616097416,0.2585570654457411,0.06635004344835913,0.26996570586989027,0.16637676003686994,0.23834816629596078,0.1915463444612123,0.07767383345774274,0.08075448472391289,0.014371432252631208,0.3008072898751359,0.10490059044185275,0.07794366894798084,0.021715401308433885,0.026398063001015923,0.012158784037645233,0.016277731071174268,0.0006185044476207233,0.026701123295094827,0.019697972221610745,0.010886332346576964,0.008254350181151964,0.0008159646016011957
0.0,0.31538593479307486,0.2624022184669486,0.06336329471591066,0.2547196694064599,0.1461699970841784,0.23732546464147578,0.19172111942018336,0.07799527595006386,0.08213898834252094,0.01420624101413194,0.29834801324879323,0.10305566142137774,0.07971606339107674,0.02209217858869433,0.026404591845298992,0.01225628875070166,0.016420468510260224,0.0006161950299202493,0.026622158519403305,0.019679222687913042,0.010834068856707237,0.008386193349964597,0.0008320862540041157
1.1102230246251565e-16,0.3084961442745956,0.266467969176817,0.06332815469609987,0.23976715782878988,0.12612398659130847,0.23614919336796783,0.19200578750651098,0.07832779342429959,0.08358808824876138,0.01403932094609884,0.2956462646228289,0.10132564897109328,0.08169514025920767,0.022365133926769865,0.026403445841441824,0.012361768359323701,0.016538627112957994,0.0006147332988673761,0.026557842041544686,0.0196632000145681,0.010784900951359432,0.008557769116221458,0.0008475969725234562
1.1102230246251565e-16,0.30216054766738015,0.27068208176887193,0.06552433132099314,0.22590877906807819,0.10775743711114294,0.2347827205540612,0.19230852706605175,0.07864465844635729,0.08503881356205308,0.013873790907547217,0.29281120343181194,0.09980295654991027,0.08379520038034369,0.022553995798920673,0.026380762226089982,0.0124677139105922,0.016644846963900263,0.0006142125867585068,0.026482405662818686,0.019652373429440113,0.010740277040684714,0.008771356390580933,0.000862551281406939
0.0,0.29721221221699046,0.2744680062222523,0.06846410475777526,0.214048048248951,0.09250935376401816,0.23333156462291152,0.19267571214944293,0.07896256524893501,0.08649016638172344,0.013703314830645578,0.2898450913005284,0.09855170728702782,0.08600763241249373,0.02259879050048456,0.02631004709906415,0.012567771627051328,0.016730962150389488,0.0006149287565136663,0.026371656287119998,0.01965245603555161,0.010702463421859458,0.009021152337306864,0.0008763070883180528
2.220446049250313e-16,0.29318772806670773,0.2777221917470273,0.07110694208845973,0.20374513547492742,0.08231676340551561,0.23166062822404096,0.1930841419039272,0.07925087381660613,0.08785585217335704,0.013530399029706746,0.28659356532764924,0.09761290168424046,0.08831233264184146,0.022544819643423305,0.026203601496534504,0.01265983667450077,0.016807184522108387,0.0006167259930203664,0.02620764616565524,0.01965946321760808,0.010670790841920335,0.00930542006953664,0.0008890494963427997
0.0,0.2901811377354756,0.28057009920109405,0.07397053971644424,0.19577785277868473,0.07870240409496021,0.229781514828804,0.19344487752285233,0.07952220939303081,0.08911097401374152,0.01336044339492969,0.2832402258733363,0.09707603952686017,0.09060537173017763,0.022420302028429616,0.02608520207853097,0.012750685174367244,0.016872934134358725,0.0006191383859441942,0.026020921311874057,0.019675174624631152,0.01065271390671738,0.00962043133050078,0.0009009969720652343
