time,ground_force_vy,ground_force_vx
0.0,0.2731065740501458,0.06322013469030721
0.0,0.27654451261582996,0.06543954255766164
0.0,0.27974807919640055,0.06764977340484545
0.0,0.2826181002594214,0.06983123247465521
0.0,0.28506700448096095,0.07194362953396252
0.0,0.28724570287509615,0.07402513810023427
0.0,0.2889976777327995,0.07600494040782939
1.1102230246251565e-16,0.2904212905729762,0.07790201348475667
0.0,0.29152916556659936,0.07971643260978352
0.0,0.29224470786731993,0.08138573272480647
0.0,0.2926470937363638,0.08295911432057954
0.0,0.29272487717186246,0.08437701534886125
0.0,0.2924816992626453,0.08565521818298337
0.0,0.29195096768447765,0.08679807161658973
2.220446049250313e-16,0.29113206612353726,0.08774738148640404
2.220446049250313e-16,0.2900206347653584,0.08856383741326938
0.0,0.2886797434543767,0.08919113609738206
0.0,0.28711272795272713,0.08964904230932996
0.0,0.28530817579207074,0.08995606649343611
2.220446049250313e-16,0.2833177210171603,0.09005530216901912
0.0,0.28112725006998424,0.09001765115250282
0.0,0.2788004012484859,0.08980092156882821
0.0,0.27631883139479796,0.08941095460440575
0.0,0.27370542533049697,0.08889447255192116
0.0,0.27098325200004697,0.08820086207917573
0.0,0.26814285377428115,0.08738036629178417
0.0,0.2652767835381749,0.08643087259180458
4.440892098500626e-16,0.2623000344769274,0.08535005699642653
4.440892098500626e-16,0.25926534611168073,0.08416563994002958
4.440892098500626e-16,0.25624595461963656,0.08287099806863457
4.440892098500626e-16,0.2531479631207093,0.08149162247147813
4.440892098500626e-16,0.2500804903519887,0.0800262592503999
0.0,0.24703602629879212,0.07849315589969635
0.0,0.2439719249384671,0.07689862869529421
0.0,0.24099682288969934,0.07525111664093626
0.0,0.23808573366405003,0.07356855433409226
0.0,0.23524342278904317,0.07185010847801396
0.0,0.23254466475618527,0.0701081565043611
4.440892098500626e-16,0.22997445638740238,0.0683543417484606
4.440892098500626e-16,0.22756946104561313,0.06659099187121596
0.0,0.2253828269326012,0.06482684895163238
0.0,0.22341924465239282,0.06306707282010605
0.0,0.22170660070776352,0.061321447051352306
0.0,0.2203112647779601,0.059587276438534266
0.0,0.21922846660712605,0.05787416691305543
0.0,0.2184810376985218,0.05619106898466568
0.0,0.21812776864817,0.05452844291041799
0.0,0.2181563503037094,0.05289992216105584
0.0,0.21859899291266652,0.051303148500260645
0.0,0.21943487345336637,0.04974231899079521
0.0,0.2207047638330343,0.04822250649814732
0.0,0.22238857388939046,0.0467375797333253
0.0,0.22444242775126316,0.04529774823895247
0.0,0.2268992490295328,0.04389809992004802
8.881784197001252e-16,0.22968907449007894,0.042545633949302164
8.881784197001252e-16,0.2328011311928195,0.04124130893347282
8.881784197001252e-16,0.23621243667330083,0.039983836018101855
8.881784197001252e-16,0.2398472725673132,0.038778622564829175
8.881784197001252e-16,0.24370960332364605,0.03762447619641986
8.881784197001252e-16,0.24772630844048926,0.03653175611154212
8.881784197001252e-16,0.25186013476870944,0.03549441309847613
8.881784197001252e-16,0.25608568822980604,0.034521321941513035
8.881784197001252e-16,0.2603444439464088,0.033617370437793205
8.881784197001252e-16,0.2646056659253592,0.03277843091948584
0.0,0.2688171970757182,0.032020403032342486
0.0,0.2729737768573334,0.031339515592785874
0.0,0.27701276898846333,0.03074061123197387
0.0,0.2809156078476815,0.030231521403023928
0.0,0.2846793354918423,0.029814460288610106
0.0,0.2882201157118523,0.029487699916765937
0.0,0.29158980323404243,0.029256405831757294
0.0,0.2947264145922688,0.029126342330226738
0.0,0.2976026490084722,0.02908421697154624
0.0,0.3002745072294058,0.02913386445519658
0.0,0.30264823922783174,0.02927710878734221
8.881784197001252e-16,0.30476796295210273,0.029489948261134182
8.881784197001252e-16,0.3066379158719231,0.0297922273506087
8.881784197001252e-16,0.30819948630831184,0.030152331491738224
8.881784197001252e-16,0.30951669620371275,0.03056473992532146
8.881784197001252e-16,0.31055695597994215,0.031043185790313302
0.0,0.31131169079584464,0.03154714471375525
0.0,0.31182064284281524,0.03209075844845387
0.0,0.31206267865085857,0.032652670666118516
0.0,0.3120593948645578,0.03323013228848248
0.0,0.3118064020780674,0.03382135405448284
0.0,0.311317574154405,0.03440200686465052
0.0,0.31061405325693286,0.03499222038650225
