Muscle,Difference (W/kg),Percent Change (%)
vasint,-0.55901175349904,-24.33272521425652
soleus,-0.408261638511231,-10.406858649961382
glmax2,-0.09205956085399197,-26.00208929334305
recfem,-0.05104388170390159,-73.89829040533047
tibant,-0.04340016523452747,-20.7560522120769
gasmed,-0.021506958329013948,-1.7806383705699524
psoas,-0.020249234378136804,-11.212435849631323
semimem,-0.00956444552515645,-3.472244557105712
bfsh,-0.0005592666173298184,-3.2926457431507337
