Muscle,Difference (W/kg),Percent Change (%)
vasint,-1.5790945864619812,-38.53259149276074
soleus,-0.6055647723358217,-16.5605780513008
glmax2,-0.5061617883513627,-64.1695623456527
semimem,-0.2717049533295735,-37.95719012454468
tibant,-0.24473932236576904,-51.485151051987174
recfem,-0.120816846907086,-66.32877085472889
psoas,-0.07333467434303448,-26.012274447251336
bfsh,-0.021492158862803538,-46.0755525137075
gasmed,0.3832561405039647,29.704275695268105
