time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
0.0,-3.847243636333333,-2.384107972333333,-1.9701342926666665,0.9433525906666667,0.9979271546666666,-0.329801009,28.483261665999997,7.513550104666668,-1.0815263123333332,-18.147553455666667,0.9727723303333337,0.0,0.0,-7.299076275666667,1.2974689863333335,-2.6375912876666665,-78.22641268266668,-15.330175922333334,0.0,0.0,-7.681311635333334,5.279800264666666,-10.412668578666665,-42.129729084,-20.168101757,-11.356512524666666,101.23414306533333,86.74166314466666,0.0,0.0,-18.806064999333337,-22.590027705,6.609891879999999,122.15016885100002,98.106783563,0.0,0.0
0.10010010010010009,-3.827257425684018,-2.4095578711948615,-1.9900173832922932,0.9432753265532201,0.9974624714337672,-0.3297561343299966,28.466856141581253,7.560673078727395,-1.0971248863313305,-18.386441034176848,1.0252027209012358,0.0,0.0,-7.147039946621618,1.2355839106863524,-2.6993313215965946,-78.64283217693661,-15.216162002676338,0.0,0.0,-7.718902084002002,5.314958217060728,-10.335056597250581,-42.01304496503637,-20.204430799665662,-11.321839455835836,101.21881495094328,86.73469143784752,0.0,0.0,-18.857665193357686,-22.57346712304838,6.601867953031032,122.00535967180512,98.12313580415415,0.0,0.0
0.20020020020020018,-3.807271214894228,-2.4350077700186854,-2.0099004737243917,0.9431980625128462,0.9969977876406407,-0.32971125957490827,28.45045061734935,7.607796052206541,-1.1127234599145814,-18.625328612887227,1.0776331112432465,0.0,0.0,-6.995003617059721,1.173698834977309,-2.7610713553123127,-79.05925167144778,-15.102148082674,0.0,0.0,-7.756492532928595,5.350116169225893,-10.257444615934599,-41.89636084629863,-20.240759842098765,-11.287166387321653,101.20348683633031,86.72771973074708,0.0,0.0,-18.909265387461467,-22.556906541017018,6.593844026107774,121.86055049247348,98.13948804591793,0.0,0.0
0.30030030030030025,-3.787285966260261,-2.4604584934574576,-2.029783754745746,0.9431207934104104,0.9965330975735738,-0.32966638352152156,28.43404868555556,7.654920500887888,-1.1283202883463475,-18.864223337020018,1.1300652995465463,0.0,0.0,-6.842965229556556,1.111811994737738,-2.8228109204294274,-79.47567046673473,-14.988133127839841,0.0,0.0,-7.794082780637638,5.385274868649649,-10.179831345082082,-41.77967573614014,-20.27708916725325,-11.252492553512512,101.18815948423124,86.72074768237137,0.0,0.0,-18.960864660696693,-22.54034645526727,6.585820473592595,121.71574027501802,98.15584027226426,0.0,0.0
0.40040040040040037,-3.7678266775228573,-2.4862324023623623,-2.050143184170838,0.9430406073183184,0.9960657255298633,-0.3296206787687688,28.42005193706707,7.702563843117451,-1.1433070722088756,-19.108045615472463,1.1836012674641245,0.0,0.0,-6.6898081483903935,1.0493725433563579,-2.8841153739529517,-79.89155841763396,-14.873589137058394,0.0,0.0,-7.831515880012345,5.420778617999331,-10.101228851005676,-41.66239257020787,-20.313523613340003,-11.217619911449784,101.17264074009609,86.71331434959458,0.0,0.0,-19.012031596733397,-22.52386720892759,6.577738815688022,121.57029914763197,98.17196439494028,0.0,0.0
0.5005005005005004,-3.7488526960066744,-2.512275721387387,-2.070963701240241,0.9429581634257589,0.9955960253203202,-0.3295740537844511,28.40804275488822,7.75072726754121,-1.1580730592338973,-19.355753582810472,1.2379299909055734,0.0,0.0,-6.535781747521526,0.9864161643179864,-2.945186655082413,-80.30701991816147,-14.758486304624626,0.0,0.0,-7.868751563585585,5.456527692524857,-10.021775635316652,-41.54464114605539,-20.350008742286285,-11.182585388913246,101.15705337066399,86.70553560002203,0.0,0.0,-19.062858410460795,-22.507440808824157,6.569612551705705,121.42439942520522,98.18792661324657,0.0,0.0
0.6006006006006005,-3.731361314474474,-2.538907476955955,-2.0927533113763763,0.9428724024184184,0.9951216778108108,-0.32952567327527527,28.399531578466462,7.799932583526525,-1.1723969522572573,-19.609072696987976,1.2946832635715655,0.0,0.0,-6.37950479157658,0.9225753888308319,-3.0058751464464457,-80.72128315429129,-14.641723505516518,0.0,0.0,-7.9047560397367365,5.492678118855855,-9.940728298226228,-41.425901880703705,-20.386890701346346,-11.147041946246247,101.1411800760931,86.69719811467266,0.0,0.0,-19.11352247161061,-22.4908389313984,6.5610187591071085,121.27724898045544,98.20398756693491,0.0,0.0
0.7007007007007011,-3.714462262790456,-2.565707361375711,-2.11453978446113,0.9427847295041708,0.9946450184971638,-0.3294771447814481,28.392310176313647,7.849516333800137,-1.1869026997410748,-19.865272759391747,1.3553325937434144,0.0,0.0,-6.221935242087076,0.858300800952948,-3.066140405861866,-81.13505960216852,-14.524966327342664,0.0,0.0,-7.940334505927263,5.529035346207878,-9.85930156899132,-41.30666645660693,-20.423865315100098,-11.111238007332997,101.12518191851218,86.68906047223156,0.0,0.0,-19.163866549400403,-22.474381294166495,6.55268418559326,121.12949516429228,98.21877505332633,0.0,0.0
0.8008008008008007,-3.697963898048049,-2.592662030094428,-2.136354321081749,0.9426952840203539,0.9941667492739406,-0.3294284594371038,28.38617762192526,7.899404251172508,-1.2014143421708345,-20.124017322543207,1.4190021771231254,0.0,0.0,-6.063358655269603,0.7936979030093428,-3.12594136484818,-81.54848014613681,-14.408165921424757,0.0,0.0,-7.975693698288955,5.56558704216283,-9.777514357057724,-41.18694012761461,-20.460911827234902,-11.075190617688687,101.10912200346579,86.68103163286455,0.0,0.0,-19.21390160474074,-22.458039476829498,6.544495179629297,120.98127870875642,98.23289645805906,0.0,0.0
0.9009009009009011,-3.6821264977567565,-2.619995498573574,-2.158374253591593,0.9426018456456458,0.9936861820360361,-0.32937949163663666,28.38215693210811,7.949935877534534,-1.2159914852942932,-20.38745127524324,1.4864894047717698,0.0,0.0,-5.902883949429429,0.728619213780782,-3.1848289825405396,-81.96100358624925,-14.291777622954953,0.0,0.0,-8.0109136699009,5.602584935246247,-9.69472136712012,-41.06625750839039,-20.49803362161862,-11.03878606000901,101.09303900966066,86.67311791827026,0.0,0.0,-19.263076332348344,-22.441783737975978,6.536537554609609,120.83241312151654,98.24635374111112,0.0,0.0
