Muscle,Difference (W/kg),Percent Change (%)
psoas,-0.38964561588219704,-15.291939858223191
recfem,-0.12940468285529072,-59.388754003223056
soleus,-0.003907684010417731,-4.324325953723351
bfsh,0.03487348984155585,93.47010514353437
tibant,0.03742487867441702,15.487992327059391
semimem,0.09190125268561267,13.685022826245893
glmax2,0.12184120666973086,18.41170502402567
gasmed,0.1964234344041299,129.57475137825224
vasint,0.304995163144663,50.129988025502584
